Countries,German,Spanish,French,Arabic
Afghanistan,Afghanistan,Afganistán,Afghanistan,أفغانستان
Åland Islands,Åland-Inseln,Islas Åland,not found,not found
Albania,Albanien,Albania,Albanie,ألبانيا
Algeria,Algerien,Argelia,Algérie,الجزائر
American Samoa,Amerikanisch-Samoa,Samoa Americana,not found,not found
Andorra,Andorra,Andorra,Andorre,not found
Angola,Angola,Angola,Angola,أنغولا
Anguilla,Anguilla,Anguila,Anguilla,not found
Antigua and Barbuda,Antigua und Barbuda,Antigua y Barbuda,Antigua-et-Barbuda,not found
Argentina,Argentinien,Argentina,Argentine,not found
Armenia,Armenien,Armenia,Arménie,ارمينيا
Aruba,Aruba,Aruba,Aruba,not found
Australia,Australien,Australia,Australie,not found
Austria,Österreich,Austria,Autriche,النمسا
Azerbaijan,Aserbaidschan,Azerbaiyán,Azerbaïdjan,not found
Bahamas,Bahamas,Bahamas,Bahamas,not found
Bahrain,Bahrain,Bahrein,Bahreïn,al-Bahrain
Bangladesh,Bangladesch,Bangladesh,Bangladesh,not found
Barbados,Barbados,Barbados,Barbade,Barbādūs
Belarus,Weißruthenien,Bielorrusia,Russie Blanche,not found
Belgium,Belgien,Bélgica,Belgique,not found
Belize,Britisch-Honduras,Honduras Británica,Honduras britannique,Bilīz
Benin,Dahomey,Dahomey,Dahomey,not found
Bermuda,Bermuda,not found,not found,not found
Bhutan,Bhutan,Bután,Bhoutan,not found
Bolivia,Bolivien,Bolivia,Bolivie,not found
Bosnia and Herzegovina,Bosnien und Herzegowina,Bosnia y Herzegovina,Bosnie-Herzégovine,not found
Botswana,Botswana,Botswana,Botswana,not found
Brazil,Brasilien,Brasil,Brésil,not found
British Virgin Islands,Britische Jungferninseln,not found,not found,not found
Brunei,Brunei,Brunei,Brunei,not found
Bulgaria,Bulgarien,Bulgaria,Bulgarie,not found
Burkina Faso,Obervolta,Alto Volta,Haute-Volta,not found
Burma,not found,not found,not found,not found
Burundi,Urundi,Urundi,Ouroundi,Būrūndī
Cambodia,Kambodscha,Camboya,Cambodge,not found
Cameroon,Kamerun,Camerún,Cameroun,not found
Canada,Kanada,Canadá,Canada,not found
Cape Verde,Kap Verde,Cabo Verde,Cap-Vert,not found
Catalonia,Katalonien,Cataluña,Catalogne,not found
Cayman Islands,Kaimaninseln,not found,not found,not found
Central African Republic,Zentralafrikanische Republik,República Centroafricana,République centrafricaine,not found
Chad,Tschad,Chad,Tchad,Tshād
Chile,Chile,Chile,Chili,Tišīlī
China,China,China,Chine,aṣ-Ṣīn
Christmas Island,Weihnachtsinsel,not found,not found,not found
Cocos (Keeling) Islands,Kokosinseln,Islas Cocos,not found,not found
Colombia,Kolumbien,Colombia,Colombie,Kūlūmbiyā
Comoros,Komoren,Comoras,Comores,Ǧuzuru l-Qumur
Republic of the Congo,Kongo,Congo,Democratic Republic of the Congo,al-Kūnġū
Cook Islands,not found,not found,not found,not found
Costa Rica,Costa Rica,Costa Rica,Costa Rica,Kūstārīkā
Ivory Coast,Elfenbeinküste,Costa de Marfil,Côte d'Ivoire,Sāḥilu l-ʿĀǧ
Croatia,Kroatien,Croacia,Croatie,Kurwātiyā
Cuba,Kuba,Cuba,Cuba,Kūbā
Cyprus,Zypern,Chipre,Chypre,Qubruṣ
Czech Republic,Tschechische Republik,República Checa,Tchéquie,at-Tišīk
Denmark,Dänemark,Dinamarca,Danemark,ad-Dānmārk
Djibouti,Dschibuti,Yibuti,Djibouti,Ǧībūtī
Dominica,Dominica,Dominica,not found,Dūmīnīkā
Dominican Republic,Dominikanische Republik,República Dominicana,République dominicaine,Ǧumhūrīyâtu d-Dūminīkān
East Timor,Timor-Leste,Timor Oriental,Timor Oriental,Tīmūru š-Šarqīyâ
Ecuador,Ecuador,Ecuador,Équateur,al-Ikwādūr
Egypt,Ägypten,Egipto,Égypte,Miṣr
El Salvador,El Salvador,El Salvador,Salvador,as-Salfādūr
England,England,Inglaterra,Angleterre,not found
Equatorial Guinea,Äquatorialguinea,Guinea Ecuatorial,Guinée équatoriale,Ġīniyā l-Istiwāʾīyâ
Eritrea,Eritrea,Eritrea,Érythrée,al-Iritrīya
Estonia,Estland,Estonia,Estonie,Istūniyā
Ethiopia,Abessinien,Abisinia,Abyssinie,Iṯyūbiyā
Falkland Islands,Falklandinseln,Islas Malvinas,Îles Malouines,not found
Faroe Islands,Färöer,Islas Feroe,Îles Féroé,not found
Fiji,Fidschi,Fiji,Fidji,not found
Finland,Finnland,Finlandia,Finlande,not found
France,Frankreich,Francia,France,not found
French Guiana,Französisch-Guayana,Guayana Francesa,Guyane,not found
French Polynesia,Französisch-Polynesien,Polinesia Francesa,French Polynesia,not found
French Southern and Antarctic Lands,Französische Süd- und Antarktisgebiete,Tierras Australes y Antárticas Francesas,French Polynesia,not found
Gabon,Gabun,Gabón,Gabon,al-Ġābūn
Georgia,Georgien,Georgia,Géorgie,not found
Germany,Germany,Alemania,Allemagne,Almānīya
Ghana,Ghana,Ghana,Ghana,not found
Gibraltar,not found,not found,not found,not found
Greece,Griechenland,Grecia,Hellade,Yūnān
Greenland,Grönland,Groenlandia,Groenland,not found
Grenada,Grenada,Granada,Grenade,not found
Guadeloupe,not found,Guadalupe,not found,not found
Guam,Guam,Guam,Guam,not found
Guatemala,Guatemala,Guatemala,Guatemala,not found
Guinea,Guinea,Guinea,Guinée,not found
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Guinée-Bissau,not found
Guyana,Guyana,Guyana,Guyana,not found
Haiti,Haiti,Haití,Haïti,هايتي
Holland,Holland,Holanda,Hollande,هولندا
Holy See,Apostolischer Stuhl,Santa Sede,Saint-Siège,not found
Honduras,Honduras,Honduras,Honduras,هندوراس
Hong Kong,Hong Kong,Hong Kong,Hongkong,هونج كونج
Hungary,Ungarn,Hungría,Hongrie,المجر
Iceland,Island,Islandia,Islande,not found
India,Indien,not found,Inde,al-Hind
Indonesia,Indonesien,Indonesia,Indonésie,not found
Iran,Persien,Irán,Iran,Īrān
Iraq,Irak,"Note: <b>Iraq</b> was formerly known as <b>Mesopotamia</b> in English, Italian, and Spanish, but that term normally applies to a larger historical area.",Irak,al-Irāq
Ireland,Irland,Irlanda,Irlande,not found
Israel,Israel,Israel,Israël,Isrā'īl
Italy,Italien,Italia,Italie,Īṭāliya
Jamaica,German,Welsh,Jamaïque,Jamaika
Japan,Japan,Japón,Japon,al-Yābān
Jordan,Transjordanien,Transjordania,Transjordanie,al-Urdun
Kazakhstan,Kasachstan,Kazajstán,Kazakhstan,Kāzākhstān
Kenya,Kenia,Kenia,Kenya,Kīniyā
Kiribati,Kiribati,Kiribati,Kiribati,Kīrībātī
Kuwait,Kuwait,Kuwait,Koweït,al-Kuwayt
Kyrgyzstan,Kirgisistan,Kirguisia,Kirghizistan,Qirghīzstān
Laos,Laos,Laos,Laos,not found
Latvia,Lettland,Letonia,Lettonie,not found
Lebanon,Libanon,Líbano,Liban,Lubnān
Lesotho,Lesotho,Lesoto,Lesotho,not found
Liberia,Liberia,Liberia,Liberia,not found
Libya,Libyen,Libia,Libye,not found
Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,not found
Lithuania,Litauen,Lituania,Lituanie,not found
Lower Austria,Niederösterreich,Baja Austria,Basse-Autriche,not found
Luxembourg,Luxemburg,Luxemburgo,Luxembourg,not found
Macau,not found,Macao,not found,not found
Macedonia,not found,Macedonia,Macédoine,not found
Madagascar,Madagaskar,Madagascar,Madagascar,not found
Malawi,Malawi,Malawi,Malawi,not found
Malaysia,Malaysia,Malasia,Malaisie,Mālīziyā
Maldives,Malediven,Maldivas,Maldives,not found
Mali,Mali,Malí,Mali,not found
Malta,Malta,Malta,Malte,not found
Marshall Islands,Marshallinseln,Islas Marshall,Marshall,not found
Martinique,Martinique,Martinica,Martinique,not found
Mauritania,Mauretanien,Mauritania,Mauritanie,not found
Mauritius,Mauritius,Mauricio,Maurice,not found
Mayotte,Mayotte,Mayotte,Mayotte,not found
Mexico,Mexiko,México,Mexique,not found
"Micronesia, Federated States of",Mikronesien,Micronesia,Micronésie,not found
Moldova,Moldau,Moldova,Moldavie,not found
Monaco,Monaco,Mónaco,Monaco,not found
Mongolia,Mongolei,Mongolia,Mongolie,not found
Montenegro,Montenegro,Montenegro,Monténégro,Al-Jabal Al-Aswad
Montserrat,not found,not found,not found,not found
Morocco,Marokko,Marruecos,Maroc,al-Maghrib
Mozambique,Mosambik,Mozambique,Mozambique,not found
Myanmar,Birma,Birmania,Birmanie,not found
Namibia,Namibia,Namibia,Namibie,not found
Nauru,Nauru,Nauru,Nauru,not found
Nepal,Nepal,Nepal,Népal,not found
Netherlands Antilles,Niederländische Antillen,Antillas Holandesas,not found,not found
Netherlands,Niederlande,Países Bajos,Pays-Bas,not found
New Caledonia,Neukaledonien,Nueva Caledonia,Nouvelle-Calédonie,not found
New Zealand,Neuseeland,Nueva Zelandia,Nouvelle-Zélande,not found
Nicaragua,Nicaragua,Nicaragua,Nicaragua,not found
Niger,Niger,Níger,Niger,not found
Nigeria,Nigeria,Nigeria,Nigeria,not found
Niue,Niue,Niue,Niue,not found
Norfolk Island,Norfolkinsel,not found,not found,not found
North Korea,Nordkorea,Corea del Norte,Corée du Nord,not found
Northern Mariana Islands,Nördliche Marianen,not found,not found,not found
Norway,Norwegen,Noruega,Norvège,not found
Oman,Oman,Omán,Oman,Umān
Pakistan,Pakistan,Pakistán,Pakistan,Bākistān
Palau,Palau,Palau,Palaos,not found
Palestinian territories,Palästina,Palestina,not found,Filasṭīn
Panama,Panama,Panamá,Panamá,not found
Papua New Guinea,Papua-Neuguinea,Papúa Nueva Guinea,Papouasie-Nouvelle-Guinée,not found
Paraguay,Paraguay,Paraguay,Paraguay,not found
Persia,not found,not found,not found,not found
Peru,Peru,Perú,Pérou,not found
Philippines,Philippinen,Filipinas,Philippines,Filibīn
Pitcairn Islands,not found,not found,not found,not found
Poland,Polen,Polonia,Pologne,Būlandā
Portugal,Portugal,Portugal,Portugal,Burtughāl
Principality of Monaco,Fürstentum Monaco,Principado de Mónaco,Principauté de Monaco,not found
Puerto Rico,not found,Puerto Rico,not found,not found
Qatar,Katar,Qatar,Qatar,Qaṭar
Reunion,Réunion,not found,not found,not found
Romania,Rumänien,Rumanía,Roumanie,Rūmāniyā
Russia,Russland,Rusia,Russie,Rūsiyā
Rwanda,Ruanda,Ruanda,Rwanda,Ruwāndā
Saint Helena,Sankt Helena,not found,not found,not found
Saint Kitts and Nevis,Saint Kitts und Nevis,San Cristóbal y Nieves,Saint-Christophe-et-Niévès,not found
Saint Lucia,Saint Lucia,Santa Lucía,Sainte-Lucie,not found
Saint Pierre and Miquelon,Saint Pierre und Miquelon,not found,not found,not found
Saint Vincent and the Grenadines,Saint Vincent und die Grenadinen,San Vicente y las Granadinas,Saint-Vincent-et-les Grenadines,not found
Samoa,Samoa,Samoa,Samoa,not found
San Marino,San Marino,San Marino,Saint-Marin,not found
São Tomé and Príncipe,São Tomé und Príncipe,Santo Tomé y Príncipe,São Tomé-et-Príncipe,not found
Saudi Arabia,not found,not found,not found,not found
Scotland,Schottland,Escocia,Écosse,Asktalanda
Senegal,Senegal,Senegal,Sénégal,not found
Serbia,Serbien,Serbia,Serbie,not found
Seychelles,Seychellen,Seychelles,Seychelles,not found
Sierra Leone,Sierra Leone,Sierra Leona,Sierra Leone,not found
Singapore,Singapur,Singapur,Singapour,Singhāfūrah
Slovakia,Slowakei,Eslovaquia,Slovaquie,not found
Slovenia,Slowenien,Eslovenia,Slovénie,not found
Solomon Islands,Salomonen,Islas Salomón,Îles Salomon,not found
Somalia,Somalia,Somalia,Somalie,not found
Somaliland,not found,not found,not found,أرض الصومال / Arḍ aṣ-Ṣūmāl
South Africa,Südafrika,Sudáfrica,Afrique du Sud,Ǧanūbu Afrīqiyā
South Georgia and South Sandwich Islands,Südgeorgien und Südliche Sandwichinseln,not found,not found,not found
South Korea,Südkorea,Corea del Sur,Corée du Sud,not found
South Ossetia,Südossetien,República de Osetia del Sur,L'Ossétie du Sud,not found
South Sudan,not found,not found,not found,not found
Spain,Spanien,Sesé,Espagne,Isbāniyā
Sri Lanka,Ceylon,Ceilán,Ceylan,Silan
Sudan,Sudan,Sudán,Soudan,as-Sūdān
Suriname,Niederländisch-Guyana,Suriname,Suriname,not found
Swaziland,Swasiland,Swazilandia,Swaziland,not found
Sweden,Schweden,Suecia,Suède,Suwīd
Switzerland,Schweiz,Suiza,Suisse,not found
Syria,Syrien,Siria,Syrie,Sūriyyah
Taiwan,Taiwan,Taiwán,Taïwan,not found
Tajikistan,Tadschikistan,Tayikistán,Tadjikistan,not found
Tanzania,Tansania,Tanzania,Tanzanie,Tanzāniyā
Thailand,Siam,Tailandia,Thaïlande,Tāiland
The Gambia,Gambia,Gambia,Gambie,not found
Togo,Togo,Togo,Togo,not found
Tokelau Islands,Tokelau,not found,not found,not found
Tonga,Tonga,Tonga,Tonga,not found
Transnistria,Transnistrien,not found,not found,not found
Trinidad and Tobago,Trinidad und Tobago,Trinidad y Tobago,Trinité-et-Tobago,not found
Tunisia,Tunesien,Túnez,Tunisie,not found
Turkey,Türkei,Turquía,Turquie,not found
Northern Cyprus,Nordzypern,not found,not found,not found
Turkmenistan,not found,not found,not found,not found
Turks & Caicos Islands,Turks- und Caicosinseln,not found,not found,not found
Tuvalu,Tuvalu,Tuvalu,Tuvalu,not found
Uganda,Uganda,Uganda,Ouganda,not found
Ukraine,Ukraine,Ucrania,Ukraine,not found
United Arab Emirates,Vereinigte Arabische Emirate,Emiratos Árabes Unidos,Émirats arabes unis,Al-Imārāt al-‘Arabiyyah al-Muttahida
United Kingdom (UK),Vereinigtes Königreich,Reino Unido,Royaume-Uni,not found
United Kingdom of Great Britain and Northern Ireland,not found,not found,not found,not found
United States of America (U.S.),Vereinigte Staaten von Amerika,Estados Unidos de América,États-Unis d'Amérique,not found
United States Virgin Islands,Amerikanische Jungferninseln,not found,not found,not found
Uruguay,Uruguay,Uruguay,Uruguay,not found
Uzbekistan,Usbekistan,Uzbekistán,Ouzbékistan,not found
Vanuatu,Neue Hebriden,Nuevas Hébridas,Nouvelles-Hébrides,نيوهبريد
Vatican City,Vatikanstadt,Vaticano,Vatican,not found
Venezuela,Venezuela,Venezuela,Venezuela,not found
Vietnam,Vietnam,Vietnam,Vietnam,not found
Wales,Wales,Gales,Pays de Galles,not found
Wallis and Futuna,Wallis und Futuna,not found,not found,not found
Western Sahara,West-Sahara,Sahara Occidental,not found,As-Ṣaḥrā' al-Ġarbiyyah
Yemen,Jemen,Yemen,Yémen,al-Yaman
Yugoslavia,not found,not found,not found,not found
Zambia,Sambia,Zambia,Zambie,not found
Zimbabwe,Simbabwe,Zimbabwe,Zimbabwe,not found
